original,filter,blurred,VariationalBayesianBID
images\saturn.jpg,|defocus_gaussian_distribution_10_15|gaussiannoise_10,21.520124234676416,3.4898397520195474
images\saturn.jpg,"|motion_gaussian_distribution_100.0_0_51|saltandpappernoise_[1, 1, 100000]",3.354919520313389,16.634869915878344
images\picassoBlurImage.png,|defocus_gaussian_distribution_10_15|gaussiannoise_10,27.621021444870294,11.528430458882791
images\picassoBlurImage.png,"|motion_gaussian_distribution_100.0_0_51|saltandpappernoise_[1, 1, 100000]",11.517493170158314,23.489000637021967
