original,filter,blurred,VariationalBayesianBID
images\saturn.jpg,|defocus_gaussian_distribution_10_15|gaussiannoise_10,0.24361360957901512,0.0013480651385862385
images\saturn.jpg,"|motion_gaussian_distribution_100.0_0_51|saltandpappernoise_[1, 1, 100000]",-0.0011013246450216985,0.2303146882195795
images\picassoBlurImage.png,|defocus_gaussian_distribution_10_15|gaussiannoise_10,0.43425410372555884,0.016863605492757873
images\picassoBlurImage.png,"|motion_gaussian_distribution_100.0_0_51|saltandpappernoise_[1, 1, 100000]",0.017697259502674024,0.3998860804814756
